candle_date_time_utc	diff_1	open	low	high	close	buy_signal
2025-01-14T03:19:00		142288000	142283000	142390000	142386000	True
2025-01-14T03:20:00	11000.0	142316000	142316000	142397000	142397000	True
2025-01-14T03:21:00	98000.0	142397000	142344000	142495000	142495000	True
2025-01-14T03:22:00	-64000.0	142495000	142365000	142499000	142431000	True
2025-01-14T03:23:00	-47000.0	142422000	142367000	142422000	142384000	True
2025-01-14T03:24:00	-18000.0	142384000	142365000	142396000	142366000	True
2025-01-14T03:25:00	47000.0	142366000	142358000	142461000	142413000	True
2025-01-14T03:26:00	-134000.0	142411000	142279000	142411000	142279000	True
2025-01-14T03:27:00	45000.0	142279000	142277000	142393000	142324000	True
2025-01-14T03:28:00	60000.0	142324000	142324000	142384000	142384000	True
